9b09b60,Jeff Cannon,17 minutes ago,Reverted back to an old commit
dd1ce60,Jeff Cannon,27 minutes ago,Jeff's branch changes
c8da0b2,chyna16,34 minutes ago,Change Back
28e8232,chyna16,36 minutes ago,CHYNA CHANGES
244c03f,Jeff Cannon,38 minutes ago,Jeff's Changes
0ee2cbd,chyna16,49 minutes ago,Adjusted git code
09267eb,chyna16,51 minutes ago,clojure helloworld core
d003756,chyna16,69 minutes ago,Clojure Helloworld
b80ef42,chyna16,80 minutes ago,Created helloworld project
